event_title,event_type,description,affected_resource_or_issue,resource_conflict_required,treasury_effect,energy_compute_effect,political_support_effect,public_welfare_effect,rd_capacity_effect,international_reputation_effect,security_sovereignty_effect,environment_effect,global_trust_effect,effect_guide,follow_up_domestic_relevance,educational_note
Breakthrough International Research Consortium,boost,"A rare moment of alignment: several nations agree to fund an open, shared research consortium on frontier science, pooling cost and risk.",cooperation / governance / science,no,,,,,all +2; if reputation>55 +3,all +3; if reputation>55 +2,,,—,"A shared opportunity — pooled research pays off, and cooperative teams gain the most.",applies evenly to all four teams,"Multilateral science consortia are rare precisely because they require durable trust, not just a good founding moment."
Fusion / Storage Breakthrough,boost,A breakthrough in fusion or grid-scale storage promises abundant clean power within a decade.,energy / technology,no,energy +5,all +4; ai +4,energy +6,,energy +8,,,all +2; climate +5,—,A shared opportunity — cheap clean power is suddenly plausible. Energy programmes gain most.,"hits energy, ai, climate programmes hardest","Energy abundance would loosen the binding constraint on AI, space and industry."
New International Technology Treaty,boost,A landmark treaty offers rule-of-the-road governance for frontier technology. Open systems benefit; closed ones feel pressure.,governance,no,if reputation<30 -3,,all +2; if reputation>55 +5; if reputation<30 -5,,if reputation>55 +3,,,,—,"Shared rules reward the open and well-regarded, and put pressure on the isolated.",applies evenly to all four teams,International regimes reward states already aligned with openness and reputation.
Open Science Movement,boost,"A global push makes publicly funded research free to read, reuse and build on. Journals resist; researchers do not.",openness / science / general,no,,,,,all +3; if reputation>55 +3,all +2; if reputation>55 +2,if security<30 -3,,—,"A shared opportunity: research capacity rises for everyone, and open, well-regarded countries benefit the most.",applies evenly to all four teams,Open access measurably widens participation in research beyond wealthy institutions.
AI Compute Rationing,condition_change,"A sudden squeeze on data-center capacity forces every AI-adjacent program to ration compute. The rules for what counts as ""affordable progress"" just changed.",ai / compute / energy,no,,all -3; ai -3; quantum -2,,,ai -4; if energy<30 -4; if energy>65 +2,,,,—,Compute becomes scarce and expensive. AI-heavy strategies are constrained until it eases.,"hits ai, quantum programmes hardest","Compute scarcity reshapes strategy for months at a time — it is now a standing constraint, not a one-off shock."
Dual-Use Research Controversy,condition_change,"Investigative journalists reveal that ""civilian"" research at several national labs has quietly fed military applications. Oversight regimes tighten worldwide.",dual-use / security / ethics,no,,,if security>65 +3,,,if security<35 -4; if security>65 -2,,,—,Military-adjacent research draws scrutiny. Security gains have a reputational price this round.,applies evenly to all four teams,Dual-use ambiguity is often the point — it lets programs claim civilian legitimacy while retaining military value.
Export-Control Tension,condition_change,"Blocs begin screening technology transfers aggressively. Every collaboration now comes with a licence, a lawyer and a political calculation.",export-control / trade / general,no,if security<35 -3,,if security>60 +2,,all -2; if security<35 -3,if reputation>65 -3,if security>60 +3,,—,"Cooperation becomes harder and less rewarding this round, while security-focused choices gain value. Isolated teams suffer least — and gain least.",applies evenly to all four teams,Controls reliably push the targeted country toward domestic substitution within a few years.
Regime Change in a Major Power,condition_change,Leadership upheaval in a major power scrambles existing technology agreements and norms.,politics,no,,,all -5; if politicalSupport>60 +4; if publicWelfare<30 -4,,,,,,—,Political ground shifts under existing agreements. Politically unstable teams are hit hardest.,applies evenly to all four teams,Tech policy continuity is hostage to political cycles in partner states.
University–Industry Funding Conflict,condition_change,"Corporate funding now dominates university research budgets, and faculty revolt over control of publication rights and research direction.",university / funding / academia,no,,,if treasury<30 -3,,if treasury<30 -2,if treasury>65 +2,,,—,Research independence is under strain. Well-funded teams cope; cash-poor ones lose capacity.,applies evenly to all four teams,Funding dependency quietly shapes which questions get asked long before anyone chooses which answers to publish.
Global Industrial Subsidy Race,mixed,"Major economies unveil enormous subsidy packages for strategic industries. Falling behind on incentives now risks losing the next factory, lab, or fab.",industrial-policy / subsidies / competitiveness,no,semiconductors -5; energy -4; materials -4,,if treasury<30 -3,,semiconductors +5; energy +4; materials +4,,,,damage scaled by global trust (low trust = harsher),"Everyone can buy progress this round — but it is expensive, and treasuries will notice.","hits semiconductors, energy, materials programmes hardest",Subsidy competition can crowd in real investment — or just bid up costs while public treasuries absorb the risk.
