technology_domain,roadmap_stage,decision_title,core_question,left_choice,right_choice,treasury_effect,energy_compute_effect,political_support_effect,public_welfare_effect,rd_capacity_effect,international_reputation_effect,security_sovereignty_effect,environment_effect,educational_note
Artificial Intelligence,any stage,Student Data for National Models,Authorize controlled access to student data for model training?,Authorize controlled access,Refuse — protect privacy,,,L0 / R+3,L-8 / R+7,L+9 / R-4,L+7 / R0,,,"Foundation-model performance scales with data, but re-identification risk makes 'anonymized' a weak guarantee."
Artificial Intelligence,any stage,Data Centers vs the Grid,Prioritize compute expansion or household electricity stability?,Prioritize AI compute,Cap data-center load,,L-10 / R+6,,L-7 / R+5,L+8 / R-6,,,,"AI progress is increasingly an energy-policy problem, not just an algorithms problem."
Artificial Intelligence,any stage,Open the Weights?,Release the model weights openly?,Release openly,Keep closed / API-only,,,L+6 / R-3,,L+4 / R0,L+10 / R-6,L-9 / R+6,,Open weights cannot be recalled; the decision is effectively irreversible.
Artificial Intelligence,any stage,Automating the Civil Service,Deploy automation across the civil service now?,Deploy and downsize,Phase in with retraining,L+9 / R-5,,L-6 / R0,L-8 / R+4,L+5 / R0,L0 / R+5,,,Productivity gains and labor displacement are two faces of the same deployment.
Artificial Intelligence,any stage,Predictive Policing Pilot,Roll out AI surveillance for public safety?,Deploy surveillance,Halt the program,,,L0 / R+3,L-9 / R+6,,,L+8 / R-4,,Dual-use AI blurs the line between protection and oppression depending on oversight.
Artificial Intelligence,any stage,Whose Standard Wins?,"Champion your own national standard, or adopt the emerging international one?",Champion a national standard,Adopt the international standard,,,,,L+3 / R-2,L-3 / R+5,L+4 / R-2,,Whoever sets the standard shapes years of downstream compliance costs for everyone else.
Artificial Intelligence,early (stages 1-2),The National Data Trust,Open public records for model training?,Open the records,Opt-in only,,,,L-7 / R+5,L+8 / R-4,L-3 / R+3,,,"Model performance scales with data, which puts constant pressure on privacy norms."
Artificial Intelligence,early (stages 1-2),Compute at What Cost,Build the cluster on dirty power?,Build it fast,Wait for clean power,L0 / R-6,L+8 / R0,,,L+5 / R-3,,,L-8 / R+5,AI infrastructure decisions are increasingly energy-policy decisions.
Artificial Intelligence,late (stage 5),The Automation Dividend,Deploy nationally at full speed?,Deploy at full speed,Phase in with retraining,L+7 / R-6,,L-5 / R+3,L-9 / R+5,L+5 / R0,,,,Productivity gains and job losses rarely land on the same people.
Artificial Intelligence,late (stage 5),Open the Model,Release the model openly?,Release openly,Restrict access,,,,,L+3 / R0,L+8 / R-5,L-8 / R+7,,Open weights cannot be recalled — the decision is effectively permanent.
Artificial Intelligence,mid (stages 3-4),Ship or Align,Ship now or finish alignment work?,Ship now,Finish alignment,,,,L-4 / R0,L+7 / R-5,L0 / R+5,L-6 / R+5,,Safety work is invisible when it succeeds and catastrophic when it is skipped.
Artificial Intelligence,mid (stages 3-4),The Defense Contract,Take military funding for the lab?,Take the funding,Stay independent,L+9 / R-6,,,L-2 / R0,L0 / R-3,L-5 / R+5,L+6 / R0,,Funding source shapes research agendas long before it shapes any single result.
Biotechnology,any stage,The National Biobank,Build a large national genomic biobank?,Build the biobank,"Opt-in, small scale",,,,L-7 / R+5,L+9 / R-3,L+4 / R0,,,Genomic data is uniquely identifying and implicates relatives who never consented.
Biotechnology,any stage,Fast-Track the Cure,Grant emergency fast-track approval?,Fast-track approval,Require full trials,,,L-3 / R+2,L+2 / R+5,L+5 / R-4,,,,"Compassionate access and rigorous safety are in genuine, not fake, tension."
Biotechnology,any stage,Gain-of-Function Oversight,Permit the gain-of-function research?,Permit with oversight,Ban the research,,,L-4 / R+3,,L+6 / R-4,,L-8 / R+6,,Dual-use life-science research sits at the center of biosecurity governance debates.
Biotechnology,any stage,GM Crops vs Public Fear,Approve nationwide GM crop cultivation?,Approve GM crops,Maintain the ban,,,,,,,L+5 / R-3,L+2 / R0,GM debates show how risk perception can diverge sharply from scientific consensus.
Biotechnology,any stage,Price of a Lifesaver,License the lifesaving drug at low cost globally?,License cheaply,Maximize revenue,L-7 / R+9,,L+9 / R-7,L+4 / R0,,,,,Access-vs-incentive tension underlies most global pharmaceutical disputes.
Biotechnology,any stage,The Gain-of-Function Question,"Continue the research under tighter controls, or halt it entirely?",Continue under tighter controls,Halt the research,,,,,L+6 / R-6,L-3 / R+4,L-4 / R+3,,Gain-of-function research sits at the center of an unresolved international biosecurity debate.
Biotechnology,early (stages 1-2),The National Biobank,Make the biobank mandatory?,Make it mandatory,Keep it opt-in,,,,L-8 / R+5,L+8 / R-5,L-4 / R+4,,,Genomic data is uniquely identifying and implicates relatives who never consented.
Biotechnology,early (stages 1-2),Pathogen Data,Publish the sequence openly?,Publish openly,Restrict access,,,,L+3 / R-2,,L+7 / R-5,L-7 / R+7,,Rapid sequence sharing enabled COVID vaccines and also lowered synthesis barriers.
Biotechnology,late (stage 5),Price the Cure,How do you price the cure?,Maximize revenue,License it cheaply,L+9 / R-6,,,L-8 / R+6,L+3 / R0,L-5 / R+8,,,The access-versus-innovation tradeoff is the core unsolved problem of pharmaceutical policy.
Biotechnology,late (stage 5),Editing the Germline,Permit germline editing?,Permit with oversight,Ban it outright,,,,L-4 / R+4,L+7 / R-6,L-5 / R+4,,,Heritable editing is prohibited in most jurisdictions and technically within reach.
Biotechnology,mid (stages 3-4),Trials Abroad,Run the trials offshore?,Run them offshore,Trial domestically,L+4 / R-7,,,,L+7 / R-3,L-8 / R+5,,,Benefit-sharing obligations in international trial ethics are widely ignored in practice.
Biotechnology,mid (stages 3-4),Fast-Track the Therapy,Grant emergency approval?,Fast-track it,Require full trials,,,L+4 / R-3,L-7 / R+6,L+6 / R-4,L0 / R+3,,,"Accelerated approval trades statistical certainty for time, sometimes badly."
Climate Technology,any stage,Tax the Smokestacks,Impose a meaningful carbon tax now?,Impose the tax,Keep industry untaxed,L+6 / R0,,L-7 / R+4,,L-3 / R0,,,L+10 / R-6,Carbon pricing is economically efficient but politically fragile without visible rebates.
Climate Technology,any stage,The Carbon-Removal Moonshot,Fund the unproven carbon-removal moonshot?,Fund the moonshot,Invest in proven measures,L-11 / R-3,,L+6 / R0,,L+8 / R0,,,L+5 / R+6,Carbon removal may be essential later but risks becoming a license to delay cuts now.
Climate Technology,any stage,Managed Retreat,Order a managed retreat from the flood zone?,Relocate the community,Keep defending the coast,L-10 / R-5,,L-6 / R0,L+4 / R-4,,,,L+5 / R-3,"Adaptation increasingly means hard choices about abandonment, not just defense."
Climate Technology,any stage,Green-Steel Mandate,Mandate green steel despite the cost gap?,Mandate green steel,Stay cost-competitive,L-6 / R0,,,,L+5 / R0,,L-4 / R+4,L+9 / R-6,First-movers on green industry risk carbon leakage without border adjustments.
Climate Technology,any stage,Pay for Their Losses,Pay into a loss-and-damage fund for the neighbor?,Pay the compensation,Decline responsibility,L-8 / R+3,,L+9 / R-7,L-3 / R0,,,,,Loss-and-damage finance is among the most contested issues in climate diplomacy.
Climate Technology,any stage,The Adaptation Bill,"Create a permanent adaptation fund, or cap disaster spending year to year?",Create a permanent fund,Cap disaster spending,L-7 / R+5,,L0 / R-3,L+4 / R-5,,,,L+4 / R0,"Adaptation costs compound: deferred resilience spending usually costs more later, after the next disaster."
Climate Technology,early (stages 1-2),Carbon Tax Now,Impose the carbon tax this term?,Impose it now,Defer it,L+5 / R-2,,L-7 / R+5,,L-3 / R0,,,L+8 / R-6,Carbon pricing is economically straightforward and politically brutal.
Climate Technology,early (stages 1-2),Whose Air,Site the plants where land is cheapest?,Site them cheaply,Enforce fair siting,L+6 / R-6,,,L-8 / R+6,L+3 / R0,L0 / R+3,,,Environmental justice research finds siting correlates strongly with local political power.
Climate Technology,late (stage 5),Green Steel Mandate,Mandate green steel now?,Mandate it,Stay cost-competitive,L-6 / R+6,,L-5 / R0,,,L+4 / R-3,,L+8 / R-7,Carbon leakage — emissions relocating rather than falling — is the central design problem.
Climate Technology,late (stage 5),The Geoengineering Trial,Run the trial unilaterally?,Run it,Wait for consensus,,,,,L+7 / R-4,L-9 / R+7,L-3 / R0,L+3 / R-2,Solar geoengineering is cheap enough that a single actor could attempt it alone.
Climate Technology,mid (stages 3-4),The Capture Moonshot,Bet on carbon capture?,Fund the moonshot,Fund proven efficiency,L-9 / R-3,,,,L+7 / R-3,,,L+2 / R+6,Capture at climate-relevant scale remains unproven and energy-intensive.
Climate Technology,mid (stages 3-4),Climate Debt,Pay into the loss-and-damage fund?,Pay in full,Decline liability,L-9 / R+4,,,,,L+9 / R-8,,,Loss-and-damage financing has been among the most contested items in climate diplomacy.
Energy Systems,any stage,"New Nuclear, Old Fears",Commit to a national nuclear build-out?,Build the reactors,Shelve nuclear,,L+12 / R-6,L-7 / R+4,,L+4 / R0,,,L+6 / R-3,Nuclear has low lifecycle emissions but uniquely high public-perception costs.
Energy Systems,any stage,Keep the Coal Plants On,Extend coal to keep the lights on?,Extend coal,Retire on schedule,L+4 / R0,L+9 / R-7,,L0 / R-3,,,,L-11 / R+7,Energy transitions stall at the moment cheap fossil capacity must be retired early.
Energy Systems,any stage,Rationing Day,Prioritize industry or households during the shortage?,Protect industry,Protect households,L+6 / R-6,,L-5 / R+4,L-9 / R+7,L+4 / R0,,,,"Grid prioritization decisions reveal a society's real, not stated, values."
Energy Systems,any stage,The Cross-Border Cable,Join the cross-border interconnect?,Join the supergrid,Stay self-sufficient,L+4 / R-3,L+8 / R-4,L+5 / R0,,,,L-6 / R+5,,Interconnection improves efficiency but turns energy into a geopolitical lever.
Energy Systems,any stage,Solar on Every Roof,Expand rooftop-solar subsidies aggressively?,Expand subsidies,"Slow rollout, upgrade grid first",L-6 / R-3,L-5 / R+5,,L+5 / R-3,,,,L+7 / R0,Distributed generation needs grid modernization or it destabilizes the system it greens.
Energy Systems,any stage,The Blackout Contract,"Award the contract for cost savings, or pay more for a trusted domestic vendor?",Award to the low-cost vendor,Pay more for a trusted vendor,L+6 / R-6,,,,,,L-7 / R+6,,Critical infrastructure vendor selection is a security decision wearing a procurement disguise.
Energy Systems,early (stages 1-2),Restart the Reactors,Restart the nuclear fleet?,Restart them,Keep them shut,L0 / R-4,L+9 / R-5,L-5 / R+4,L-6 / R+3,,,,L+4 / R0,Nuclear acceptance is driven far more by trust in institutions than by accident statistics.
Energy Systems,early (stages 1-2),Who Controls the Grid,Award the contract abroad?,Take the cheap bid,Pay for a domestic vendor,L+7 / R-8,L+3 / R0,,,,,L-9 / R+7,,Grid control systems are among the highest-value targets in any national network.
Energy Systems,late (stage 5),Export the Surplus,Export the surplus power?,Export it,Keep it domestic,L+8 / R-3,L-5 / R+6,,L0 / R+4,,L+4 / R-2,,,Energy interdependence builds both resilience and leverage — in both directions.
Energy Systems,late (stage 5),The Supergrid Question,Join the regional supergrid?,Join the supergrid,Stay islanded,L0 / R-5,L+7 / R-4,,,,L+6 / R0,L-7 / R+7,,Interconnection reduces cost and raises the political stakes of every dispute.
Energy Systems,mid (stages 3-4),Blackout Triage,Who keeps the power?,Protect industry,Protect households,L+4 / R-3,,L0 / R+4,L-9 / R+7,L+5 / R-5,,,,"Load-shedding rules are written long before the emergency, and they are political documents."
Energy Systems,mid (stages 3-4),The Transmission Corridor,Force the corridor through?,Force it through,Reroute and bury it,L0 / R-9,L+8 / R0,L-4 / R0,L-5 / R+4,,,,L-4 / R+3,"Transmission, not generation, is the binding constraint on most clean-energy plans."
General (any domain),any stage,Brain Drain,Restrict talent outflow or double down on openness?,Restrict outflow,Improve openness & pay,L0 / R-7,,L-5 / R0,,,L-4 / R+13,,,Coercive retention tends to accelerate the very exodus it tries to stop.
General (any domain),any stage,Elite Capture?,Bail out the strategic lab with public funds?,Fund the rescue,Let it fail,L-8 / R+2,,,L-6 / R+3,L+7 / R-6,,,,Public support for strategic sectors constantly risks being seen as capture.
General (any domain),any stage,The Engineers' Strike,Concede to the striking engineers?,Meet their demands,Hold the line,L-7 / R+3,,,L+4 / R0,L0 / R-3,L+6 / R-6,,,Burnout in critical technical workforces is a quiet strategic vulnerability.
General (any domain),any stage,Scandal in the Flagship,Disclose the scandal fully?,Full transparency,Quietly contain it,,,L-2 / R-1,L+6 / R-8,,,,,Cover-ups compound: the second scandal is usually the concealment.
General (any domain),any stage,Strings Attached,Accept the conditional foreign investment?,Take the investment,Decline the strings,L+11 / R-4,,L-3 / R0,,L+5 / R0,,L-7 / R+4,,Strategic investment can be a Trojan horse for influence and data access.
